id,text,E,S,G,non_ESG
0,"In addition to shares held by the Family Trust, members of the Slim Family, including Carlos Slim Helú, directly own an aggregate of of each series.",0,1,0,0
1,The topics in this report were identified through a multi-step process that included engaging key internal and external stakeholders and referencing third-party reporting frameworks and relevant sector guidance for ESG reporting and disclosure in our industry.,0,0,0,1
2,"For this reason, the Energy Management Dashboard was created.",0,0,0,1
3,"Environment, social and governance | ENVIRONMENTAL, SOCIAL & GOVERNANCE | ENVIRONMENTAL, SOCIAL & GOVERNANCE Resimac’s approach to its Environmental, Social and Governance ('ESG') responsibilities is a key factor in how many of our customers, investors, shareholders and our employees regard our business.",0,0,0,1
4,"Subject to the appointment of the nominated candidates by the shareholders meeting, – as of consist of four women and four men.",0,1,0,0
5,exclusive right to negotiate a with a leading research organization for the rights to two oncology clinical programs.,0,0,0,1
6,"A discussion of changes in our Financial Results, and Cash Flow Comparisons and Liquidity and Capital Resources from the year ended December may be found in Part II, Item 7. – “Management’s Discussion and Analysis of Financial Condition and Results of Operations,” of our Annual Report on Form 10-K for the year ended [DATE], [YEAR].",0,0,0,1
7,These programme rights are tested for impairment by Management if there are indicators that these assets may be impaired.,0,0,1,0
8,"• may disagree with our trial design or our interpretation of data from preclinical studies, bioequivalence studies and/or clinical trials, or may change the requirements for approval even after it has reviewed and commented on the design for our trials; • may determine that there are unacceptable risks associated with the device component of FUROSCIX or that there are deficiencies with the information submitted to demonstrate the safety, effectiveness and reliability of the device component; • may determine that we have identified the wrong listed drug or drugs or that approval of our Section FUROSCIX or any of our other product candidates is blocked by patent or non-patent exclusivity of the listed drug or drugs or of other previously-approved drugs with the same conditions of approval as FUROSCIX (e.g., subcutaneous injection); • may delay the timing of routine or pre-approval inspections due to the ongoing COVID-19 pandemic, which could impact the approval process, or identify deficiencies in the manufacturing processes or facilities of third-party manufacturers with which we enter into agreements for the manufacturing of our product candidates; • may approve our product candidates for fewer or more limited indications than we request, or may grant approval contingent on the performance of costly post-approval clinical trials; • may change its approval policies or adopt new regulations; or • may not approve the labeling claims that we believe are necessary or desirable for the successful commercialization of our product candidates.",0,1,0,0
9,Governance The Code of Conduct was updated during [YEAR] and is available in 28 languages.,0,1,1,0
10,See Our approach to a sustainable supply chain for detail about the audit process.,0,0,1,0
11,"Our management, with the participation of our chief executive officer, our chief financial officer, and our principal accounting officer, evaluated the effectiveness of our disclosure controls and procedures (as defined in Rules and 15d–15(e) of the Exchange Act) as of the end of the period covered by this Annual Report on Form 10–K. Disclosure controls and procedures include, without limitation, controls and procedures designed to ensure that information required to be disclosed by a company in the reports that it files or submits under the Exchange Act is accumulated and communicated to our management, including its principal executive and principal financial officers, as appropriate to allow timely decisions regarding required disclosure.",0,0,1,0
12,"IBM’s trust and compliance officers, lawyers and management also work to provide compliance and ethics training to employees around the world in targeted group sessions.",0,0,1,0
13,Financial StatementsCorporate GovernanceStrategic Report 2 Accounting Policies continued 2.10 DIVIDENDS Dividend distributions payable to equity shareholders are included in other liabilities when the dividends have been approved in a Board meeting prior to the reporting date.,0,0,0,1
14,"▪ Strategic objectives: FTIM works to disseminate a culture of innovation, in order to promote solidarity and civil, cultural and economic development.",0,1,1,0
15,A further description of our responsibilities is available on the Financial Reporting Council’s website at: www. frc.org.uk/auditorsresponsibilities.,0,0,1,0
16,"ONCOLOR™ NON-HALOGEN COLORANTS FOR WIRE & CABLE meet many standard wire and cable specifications, including RAL, IEC, BS and AFNOR.",0,0,0,1
17,"DICK’S SPORTING GOODS ABOUT THIS REPORT This report provides a high-level overview of DICK’S Sporting Goods corporate social responsibility (CSR) commitments, activities and progress in [YEAR].",0,1,1,0
18,"In accordance with accounting guidance related to pro-forma disclosures, the information presented for current year acquisitions is as if they occurred on January reflects acquisitions made in [YEAR] as if they occurred on [DATE], [YEAR].",0,0,1,0
19,"Employees volunteer to raise funds and awareness for critical causes As our company has grown and evolved, so has our commitment to making a difference in the communities we serve.",0,1,0,0
20,"We remain committed to making a positive impact through our marketplace practices, our community investment programs and our approach to environmental sustainability, and have included highlights from all these areas as well.",1,1,0,0
21,"The plan required a substantial reduction in the Company’s cost of operation, restructure of its’ financing, and to amend the business plan to concentrate on the most valuable of the Company’s assets, needing the least working capital, over which we had the most control, providing early and substantial production and cashflow.",0,0,1,0
22,"Information Regarding Committees of the Board of Directors Our board of directors has established an audit committee, a compensation committee and a nominating and corporate governance committee.",0,0,0,1
23,LASO3 Percentage of employees trained in organization’s anti-corruption policies and procedures.,0,0,1,0
